
At 17:23:57 9/25/97, lcsc3142.lcsc.edu came here from  using Mozilla/3.01 (Macintosh; U; 68K).
At 02:29:54 11/30/97, ehdup-a2-3.rmt.net.pitt.edu came here from http://miso.wwa.com/~eaton/ using Mozilla/3.0Gold (Macintosh; I; PPC).
At 13:17:54 11/30/97, 206.155.37.130 came here from http://miso.wwa.com/~eaton/ using Mozilla/4.02 [en] (Win95; I).
At 13:32:46 11/30/97, lee-as3s36.erols.com came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/3.01 (Win95; I).
At 20:19:31 11/30/97, max2-185.hiwaay.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/2.0 (compatible; MSIE 3.01; Update a; Windows NT).
At 13:37:38 12/01/97, cccpp.com came here from  using Mozilla/4.01 [en] (Win95; I).
At 00:29:29 12/02/97, mornington.surf.net.au came here from http://www.altavista.yellowpages.com.au/cgi-bin/query?mss=simple&pg=q&what=web&fmt=.&q=mud+%2B%2B%2Bcyberpunk&stq=10 using Mozilla/2.0 (compatible; MSIE 3.0; Windows 95).
At 00:29:30 12/02/97, mornington.surf.net.au came here from http://www.altavista.yellowpages.com.au/cgi-bin/query?mss=simple&pg=q&what=web&fmt=.&q=mud+%2B%2B%2Bcyberpunk&stq=10 using Mozilla/2.0 (compatible; MSIE 3.0; Windows 95).
At 09:59:44 12/02/97, uresearchws-7.lse.okstate.edu came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/3.01 (Macintosh; I; 68K).
At 11:10:55 12/02/97, albtc1-44.flash.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.0 (compatible; MSIE 4.0; Windows 95).
At 23:45:41 12/02/97, host-209-138-16-181.atl.bellsouth.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/3.01-C-BLS20 (Macintosh; U; PPC).
At 10:11:06 12/04/97, wilbur-bbn.infoseek.com came here from  using InfoSeek Sidewinder/0.9.
At 10:23:02 12/04/97, 206-213-160-018.campbelluhsd.k12.ca.us came here from http://www.otaking.org/~percy/ using Mozilla/4.02 [en] (Win95; I).
At 17:19:39 12/04/97, cccpp.com came here from  using Mozilla/4.01 [en] (Win95; I).
At 14:00:25 12/05/97, wilbur-bbn.infoseek.com came here from  using InfoSeek Sidewinder/0.9.
At 22:26:45 12/05/97, pm14-05.freeway.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.03 (Macintosh; I; PPC).
At 23:54:20 12/05/97, hcks01-nj-13.gti.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/2.0 (compatible; MSIE 3.02; Update a; Windows NT).
At 03:01:24 12/06/97, firewall.telplus.net came here from http://www.search.hotbot.com/IU0ulmpf9E99179C139AF393519D290DDF427DB0/hResult.html?SM=MC&MT=aliens+mud&DV=7&RG=.com&DC=10&DE=2&OPs=MDRTP&_v=2&DU=days&SW=web using Mozilla/2.0 (compatible; MSIE 3.01; Windows 95).
At 15:25:57 12/06/97, ppp119-pm-p4.tcsn.net came here from http://miso.wwa.com/~eaton/ using Mozilla/2.0 (compatible; MSIE 3.02; AK; Windows 95).
At 22:05:55 12/06/97, hlfx05-09.ns.sympatico.ca came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/3.01C-SYMPA  (Win95; U).
At 05:08:50 12/07/97, 134.48.101.55 came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/3.01Gold (Win95; I).
At 01:27:26 12/08/97, ts20-44.slip.uwo.ca came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/3.0Gold (Win95; I).
At 01:34:25 12/08/97, duncan.cup.edu came here from http://miso.wwa.com/~eaton/ using Lynx/2-4-1  libwww/2.14.
At 20:21:33 12/08/97, amman-server1.go.com.jo came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/2.0 (compatible; MSIE 3.02; AK; Windows 95).
At 16:10:33 12/09/97, 140.146.22.77 came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/3.01 (Win95; I).
At 16:34:18 12/09/97, ppp0003.lr.centuryinter.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/2.0 (compatible; MSIE 3.01; Update a; Windows 95).
At 18:44:54 12/09/97, buttons.ihug.co.nz came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/1.1N (Windows; I; 16bit).
At 04:00:06 12/11/97, pc04-70.unine.ch came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/1.1N (Windows; I; 16bit).
At 05:11:34 12/11/97, 194.66.216.35 came here from http://miso.wwa.com/~eaton/ using Mozilla/3.01 (Win16; I).
At 11:49:38 12/11/97, 1cust40.max22.cleveland.oh.ms.uu.net came here from http://miso.wwa.com/~eaton// using Mozilla/3.01Gold (Win95; I).
At 13:52:09 12/12/97, slip166-72-126-126.in.us.ibm.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/3.02 (Win95; I).
At 01:54:42 12/13/97, chw-il5-05.ix.netcom.com came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/3.01 (Win95; I).
At 04:03:04 12/14/97, prai-cas1-cs-11.dial.mhtc.net came here from  using Mozilla/3.0 (Win16; U).
At 13:58:33 12/14/97, 175-152-31.ipt.aol.com came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/3.01 (Win95; I).
At 17:04:25 12/14/97, ppp487.qc.bellglobal.com came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/3.01C-SYMPA  (Win95; U).
At 17:09:58 12/14/97, ppp487.qc.bellglobal.com came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/3.01C-SYMPA  (Win95; U).
At 14:31:16 12/15/97, poolx2-016.wwa.com came here from http://miso.wwa.com/~eaton/ using Mozilla/4.03 [en] (Win95; I ;Nav).
At 16:39:39 12/15/97, dialup05ip11.tus.azstarnet.com came here from http://av.yahoo.com/bin/query?p=Hope+Station+moo&hc=0&hs=1 using Mozilla/3.01C-KIT  (Win95; U).
At 20:34:30 12/15/97, ppp-207-104-67-196.rvsd01.pacbell.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/2.02E (Win95; I).
At 20:56:29 12/15/97, ppp-207-104-67-196.rvsd01.pacbell.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/2.02E (Win95; I).
At 11:24:00 12/17/97, rage.map.com came here from  using Mozilla/4.01 [en] (Win95; I).
At 12:30:14 12/18/97, i1.inktomi.com came here from  using Slurp/2.0 (slurp@inktomi.com; http://www.inktomi.com/slurp.html).
At 15:30:26 12/18/97, otaking.otaking.org came here from http://miso.wwa.com/~eaton// using Lynx/2.6  libwww-FM/2.14.
At 11:01:26 12/19/97, 204.214.3.7 came here from http://miso.wwa.com/~eaton/ using Mozilla/3.01Gold (X11; I; OSF1 V4.0 alpha).
At 13:03:19 12/19/97, ns2.above.net came here from http://www.otaking.org/~percy/ using Mozilla/4.02 [en] (Win95; I).
At 19:00:16 12/19/97, as5-143.alnet.net came here from http://altavista.digital.com/cgi-bin/query?pg=q&what=web&kl=XX&q=cyberpunk+%2Bmud&navig10.x=9&navig10.y=11 using Mozilla/3.03 (Win95; I).
At 21:57:16 12/19/97, slip-32-100-175-249.tx.us.ibm.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/3.0 (Win95; I).
At 02:15:24 12/20/97, dialup1.salsa.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/2.0 (compatible; MSIE 3.0; Windows 95).
At 15:06:58 12/20/97, ww-ti02.proxy.aol.com came here from  using Mozilla/2.0 (Compatible; AOL-IWENG 3.0; Win16).
At 15:10:10 12/20/97, ww-ti02.proxy.aol.com came here from  using Mozilla/2.0 (Compatible; AOL-IWENG 3.0; Win16).
At 22:03:19 12/20/97, tia1.eskimo.com came here from http://miso.wwa.com/~eaton/hope/ using Emacs-W3/4.0pre.8 URL/p4.0pre.8 (i386-debian-linux-gnu; X11).
At 13:59:25 12/21/97, duck.engin.umich.edu came here from http://miso.wwa.com/~eaton/ using Mozilla/4.04 [en] (X11; I; SunOS 5.5.1 sun4u).
At 09:16:04 12/22/97, du-37.tch1nsc.memphisonline.com came here from http://miso.wwa.com/~eaton/ using Mozilla/4.03 [en] (Win95; I).
At 12:53:23 12/22/97, pc229b423.med.unc.edu came here from http://www.otaking.org/percy/percy.html using Mozilla/3.03 (Win95; I).
At 18:04:10 12/22/97, poolx1-042.wwa.com came here from http://miso.wwa.com/~eaton/ using Mozilla/4.03 [en] (Win95; I ;Nav).
At 19:50:02 12/22/97, eyeball.ne.mediaone.net came here from http://miso.wwa.com/~eaton/ using Mozilla/4.04 (Macintosh; I; PPC, Nav).
At 21:43:28 12/23/97, ppp1-21.pittgate1.microserve.com came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.04 [en] (Win95; I).
At 12:45:49 12/24/97, 132.170.186.77 came here from http://miso.wwa.com/~eaton/ using Mozilla/3.01Gold (Win16; I).
At 16:28:43 12/24/97, ppp-206-170-31-16.hywr01.pacbell.net came here from http://miso.wwa.com/~eaton/ using Mozilla/3.02Gold (Macintosh; I; 68K).
At 00:24:29 12/25/97, poolf2-048.wwa.com came here from http://miso.wwa.com/~eaton/ using Mozilla/3.0 (compatible; MSIE 3.01; Mac_68000).
At 04:52:19 12/25/97, morrisville.edu came here from http://miso.wwa.com/~eaton/ using Lynx/2.4-FM  libwww/2.14.
At 08:20:22 12/25/97, www-proxy.uni-sb.de came here from http://altavista.telia.com/cgi-bin/query?mss=de%2Fsearch&pg=q&country=de&what=web&kl=&q=cyberpunk+online+rpg+free+scifi using Mozilla/4.03 [en] (Win95; I ;Nav).
At 10:25:48 12/25/97, la-ppp-088.lightspeed.net came here from http://miso.wwa.com/~eaton/ using Mozilla/3.0Gold (Win16; I).
At 13:19:33 12/25/97, ppp-32-23.itc.virginia.edu came here from http://miso.wwa.com/~eaton/ using Mozilla/4.04 [en] (Win95; I).
At 15:32:54 12/25/97, slip139-92-70-97.he.fi.ibm.net came here from  using Mozilla/2.02 (OS/2; I).
At 21:01:23 12/25/97, ww-th05.proxy.aol.com came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/2.0 (Compatible; AOL-IWENG 3.0; Win16).
At 00:20:43 12/26/97, eagle43.sk.sympatico.ca came here from http://miso.wwa.com/~eaton/ using Mozilla/3.01 (Win95; I; 16bit).
At 21:37:37 12/26/97, ppp-32-16.itc.virginia.edu came here from http://miso.wwa.com/~eaton/ using Mozilla/4.04 [en] (Win95; I).
At 21:38:05 12/26/97, ppp-32-16.itc.virginia.edu came here from http://miso.wwa.com/~eaton/ using Mozilla/4.04 [en] (Win95; I).
At 23:29:45 12/26/97, 213.cambridge-06.ma.dial-access.att.net came here from http://miso.wwa.com/~eaton/ using Mozilla/3.0C-WorldNet  (Win95; U).
At 15:29:16 12/28/97, 119.chicago-35.il.dial-access.att.net came here from http://miso.wwa.com/~eaton/ using Mozilla/3.0Gold (Win95; I).
At 15:56:43 12/28/97, ww-te05.proxy.aol.com came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/2.0 (compatible; MSIE 3.0; AOL 3.0; Windows 3.1).
At 20:37:43 12/28/97, ha-120.webexpert.net came here from http://miso.wwa.com/~eaton/ using Mozilla/2.0 (compatible; MSIE 3.02; Update a; AK; Windows 95).
At 00:04:53 12/29/97, f180-134.net.wisc.edu came here from http://miso.wwa.com/~eaton/ using Mozilla/4.01 [en] (Win95; I).
At 15:31:32 12/30/97, ras2.princeton.com came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/3.01Gold (Win95; I).
At 15:31:52 12/30/97, ras2.princeton.com came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/3.01Gold (Win95; I).
At 06:50:45 12/31/97, p23-max13.auck.ihug.co.nz came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.03 [en] (Win95; I).
At 11:04:16 12/31/97, ppp-28.rdn.it came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.0 (compatible; MSIE 4.0; Windows 95).
At 13:35:23 12/31/97, omni2.voicenet.com came here from  using Lynx/2.7 libwww-FM/2.14.
At 20:07:38 12/31/97, modem42.actioninternet.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.0 (compatible; MSIE 4.0; Windows NT; c_athome).
At 10:50:11 1/01/98, msmolly.clark.net came here from http://miso.wwa.com/~eaton/ using Mozilla/2.0 (compatible; MSIE 3.01; AK; Windows 95).
At 13:30:39 1/01/98, user-38lc8pj.dialup.mindspring.com came here from http://miso.wwa.com/~eaton/ using Mozilla/4.0 (compatible; MSIE 4.01; Windows NT).
At 17:52:12 1/01/98, modem30.actioninternet.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.0 (compatible; MSIE 4.0; Windows NT; c_athome).
At 08:58:47 1/02/98, user-38lcms1.dialup.mindspring.com came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/2.0 (compatible; MSIE 3.0; Windows 3.1).
At 13:34:56 1/02/98, 207.41.109.129 came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/2.0 (compatible; MSIE 3.0; Windows 95).
At 22:27:55 1/02/98, poolf4-060.wwa.com came here from http://miso.wwa.com/~eaton/ using Mozilla/3.0 (compatible; MSIE 3.01; Mac_68000).
At 22:41:14 1/02/98, 206.150.217.251 came here from http://miso.wwa.com/~eaton/ using Mozilla/2.0 (compatible; MSIE 3.0; Windows 95).
At 19:08:44 1/03/98, smx-ca10-16.ix.netcom.com came here from http://miso.wwa.com/~eaton/ using Mozilla/3.01Gold (Win95; I).
At 13:46:27 1/04/98, 208.212.201.122 came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/2.0 (compatible; MSIE 3.02; Windows 95).
At 23:12:34 1/04/98, 200-192-205.ipt.aol.com came here from http://miso.wwa.com/~eaton/ using Mozilla/3.0Gold (Win95; U).
At 00:36:15 1/05/98, 203.228.174.68 came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.0 (compatible; MSIE 4.0; Windows 95).
At 00:52:42 1/05/98, ww-tr03.proxy.aol.com came here from http://miso.wwa.com/~eaton/ using Mozilla/2.0 (compatible; MSIE 3.0; AOL 3.0; Windows 95).
At 21:28:48 1/05/98, dt4h4n76.maine.rr.com came here from http://miso.wwa.com/~eaton/ using Mozilla/4.02 [en] (Win95; I).
At 17:44:29 1/06/98, 204.245.222.228 came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.01 [en] (Win95; I).
At 11:13:36 1/07/98, seattle.pm4-101.aa.net came here from http://www.altavista.digital.com/cgi-bin/query?pg=q&what=web&kl=XX&q=%22space+station%22+pictures+fiction&next.x=34&next.y=5 using Mozilla/3.0 (compatible; Opera/3.0; Windows 3.1).
At 22:21:32 1/07/98, abraham.integrityol.com came here from http://miso.wwa.com/~eaton/ using Mozilla/2.0 (compatible; MSIE 2.1; Mac_68000).
At 10:06:26 1/08/98, proxy2.qzn.skyinet.net came here from http://miso.wwa.com/~eaton/ using Mozilla/3.01C-KIT  (Win95; I).
At 15:21:05 1/08/98, 132.170.186.77 came here from http://miso.wwa.com/~eaton/ using Mozilla/4.04 [en] (WinNT; I).
At 23:25:39 1/08/98, port2.ts1.auck.sinesurf.co.nz came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.02 [en] (Win95; I).
At 00:29:11 1/09/98, 20715975131.bellatlantic.net came here from http://miso.wwa.com/~eaton/ using Mozilla/2.02E (Win95; U).
At 01:25:51 1/09/98, poolf8-053.wwa.com came here from http://miso.wwa.com/~eaton/ using Mozilla/4.03 (Macintosh; U; PPC, Nav).
At 19:34:25 1/09/98, ww-tn02.proxy.aol.com came here from http://miso.wwa.com/~eaton/ using Mozilla/2.0 (compatible; MSIE 3.0; AOL 3.0; Windows 3.1).
At 22:49:56 1/09/98, port-2-21-56k.portsmouth.zoomnet.net came here from http://miso.wwa.com/~eaton/ using Mozilla/3.01 (Win95; I).
At 12:04:11 1/10/98, f181-081.net.wisc.edu came here from http://miso.wwa.com/~eaton/ using Mozilla/4.01 [en] (Win95; I).
At 14:15:43 1/10/98, ww-th05.proxy.aol.com came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/2.0 (compatible; MSIE 3.0; AOL 3.0; Windows 3.1).
At 15:31:58 1/10/98, 20715975234.bellatlantic.net came here from http://miso.wwa.com/~eaton// using Mozilla/2.02E (Win95; U).
At 16:35:43 1/10/98, 20715975234.bellatlantic.net came here from http://miso.wwa.com/~eaton/ using Mozilla/2.02E (Win95; U).
At 16:43:00 1/10/98, ppp051-pm-p2.tcsn.net came here from http://miso.wwa.com/~eaton/ using Mozilla/2.0 (compatible; MSIE 3.02; AK; Windows 95).
At 16:52:19 1/10/98, ppp051-pm-p2.tcsn.net came here from  using Mozilla/2.0 (compatible; MSIE 3.02; AK; Windows 95).
At 21:04:34 1/10/98, poolx1-052.wwa.com came here from http://miso.wwa.com/~eaton/ using Mozilla/4.03 [en] (Win95; I ;Nav).
At 21:51:17 1/12/98, desm-08-02.dialup.netins.net came here from http://miso.wwa.com/~eaton/ using Mozilla/4.04 [en] (Win95; I).
At 00:09:49 1/13/98, ppp-207-193-27-213.snantx.swbell.net came here from  using Mozilla/3.0 (Win95; I).
At 14:58:29 1/13/98, 205.160.37.96 came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/2.1 (compatible; Opera/2.12; Windows 95).
At 15:01:10 1/13/98, 205.160.37.96 came here from  using Mozilla/2.1 (compatible; Opera/2.12; Windows 95).
At 10:51:11 1/14/98, proxy.esc13.tenet.edu came here from http://altavista.digital.com/cgi-bin/query?pg=q&what=web&kl=en&q=%22science+fiction%22+roleplay+game&navig10.x=5&navig10.y=2 using Mozilla/3.01 (Macintosh; I; PPC).
At 13:21:19 1/14/98, ww-tm02.proxy.aol.com came here from  using Mozilla/2.0 (compatible; MSIE 3.0; AOL 3.0; Windows 3.1).
At 14:31:41 1/14/98, hawkman.arl.org came here from http://miso.wwa.com/~eaton/ using Mozilla/2.01 (Macintosh; I; 68K).
At 19:49:49 1/14/98, ww-tl06.proxy.aol.com came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/2.0 (compatible; MSIE 3.0; AOL 3.0; Windows 95).
At 09:23:12 1/15/98, phd-as1s15.erols.com came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/2.01KIT (Win95; U).
At 10:12:07 1/15/98, webgate4.mot.com came here from http://miso.wwa.com/~eaton/ using Mozilla/4.03 (Macintosh; I; 68K, Nav).
At 14:21:51 1/15/98, poolf2-048.wwa.com came here from http://miso.wwa.com/~eaton/ using Mozilla/4.03 (Macintosh; U; PPC, Nav).
At 08:52:10 1/16/98, cerebus.plym.ac.uk came here from http://www.altavista.digital.com/cgi-bin/query?pg=q&what=web&kl=XX&q=%22MUD%22+%2Bscifi&search.x=55&search.y=6 using Mozilla/3.03 (Win16; I).
At 21:49:20 1/16/98, 2cust55.tnt2.tampa.fl.gt.uu.net came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/3.01Gold (Win95; U).
At 00:21:08 1/17/98, ha-89.webexpert.net came here from  using Mozilla/4.0 (compatible; MSIE 4.01; Windows 95).
At 01:43:26 1/18/98, ppp5.passage.net came here from http://www.otaking.org/percy/index.html using Mozilla/4.04 (Macintosh; I; 68K).
At 06:22:45 1/18/98, cerebus.plym.ac.uk came here from  using Mozilla/3.03 (Win16; I).
At 20:39:46 1/18/98, jas17-28.se.mediaone.net came here from http://www.search.hotbot.com/IU19Z28EC51C0DF620D3836A1CC63C4519C2C4F1/hResult.html?DV=7&OPs=MDRTP&MT=%2Bcyberpunk+%2Bmud&RG=.com&DU=days&_v=2&NUMMOD=0&act.next.x=8&act.next.y=7 using Mozilla/4.03 [en] (Win95; I).
At 07:17:37 1/21/98, net130-153.mclink.it came here from http://miso.wwa.com/~eaton/ using Mozilla/2.01 (Win16; I).
At 21:50:36 1/22/98, poolx1-054.wwa.com came here from http://miso.wwa.com/~eaton/ using Mozilla/4.04 [en] (Win95; I).
At 13:08:36 1/23/98, 158.83.201.75 came here from http://miso.wwa.com/~eaton/ using Mozilla/3.01Gold (WinNT; I).
At 16:18:24 1/23/98, cerebus.plym.ac.uk came here from  using Mozilla/3.03 (Win16; I).
At 18:56:32 1/23/98, elk_tcont01_range.dpnet.net came here from http://miso.wwa.com/~eaton/ using Mozilla/3.04 (Win95; I).
At 05:42:20 1/25/98, dynamic32.dialup.jyu.fi came here from  using Mozilla/2.0 (compatible; MSIE 3.01; Windows 95).
At 11:23:26 1/25/98, gateway2.midwal.ca came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/4.02 [en] (WinNT; U).
At 18:57:12 1/25/98, elk_tcont01_range.dpnet.net came here from  using Mozilla/3.04 (Win95; I).
At 12:25:57 1/26/98, chi1-port11.ntso.com came here from http://miso.wwa.com/~eaton/ using Mozilla/3.0Gold (Win95; U).
At 20:29:24 1/26/98, user-37kb582.dialup.mindspring.com came here from http://av.yahoo.com/bin/query?p=aliens%2Bcyberpunk&hc=0&hs=0 using Mozilla/4.0 (compatible; MSIE 4.0; Windows 95).
At 22:02:18 1/26/98, kuts6p10.cc.ukans.edu came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.01 [en] (Win95; I).
At 22:04:41 1/26/98, dialup19.nmia.com came here from http://miso.wwa.com/~eaton//jce98/ using Mozilla/3.01Gold (Win95; I).
At 07:21:34 1/27/98, a081.tc-1.cmh-icg.infinet.com came here from http://miso.wwa.com/~eaton/ using Mozilla/4.01 [en] (Win95; I).
At 19:21:31 1/27/98, ligarius-fe0.ultra.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/3.01Gold (Macintosh; U; PPC) via Squid Cache version 1.0.22.
At 19:58:00 1/29/98, sdn-ts-007azphoep03.dialsprint.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/3.01C-SI304B01  (Win95; I).
At 14:24:10 1/30/98, 204.235.146.182 came here from http://miso.wwa.com/~eaton// using Mozilla/3.01Gold (Win95; I).
At 17:29:31 1/30/98, 1cust15.max4.kansas-city.mo.ms.uu.net came here from http://www.search.hotbot.com/MSIE4/msResult.html?SW=web&MT=cyberpunk+fiction+stories&base=20&RG=NA&_v=2&NUMMOD=0&act.next.x=13&act.next.y=10 using Mozilla/4.0 (compatible; MSIE 4.01; MSN 2.5; Windows 95).
At 23:06:34 1/30/98, 1cust117.max10.boston.ma.ms.uu.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Microsoft Internet Explorer/4.40.308 (Windows 95).
At 09:12:19 1/31/98, compbio.rpms.ac.uk came here from http://altavista.telia.com/cgi-bin/query?mss=gb%2Fsearch&pg=q&country=gb&what=web&kl=en&q=Science+fiction+MUD using Mozilla/3.01Gold (X11; I; SunOS 5.3 sun4m).
At 14:41:05 1/31/98, cable018047.cable.eph.ptd.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/2.0 (compatible; MSIE 3.02; Win32).
At 14:54:15 1/31/98, p146-as3.dubadl.tinet.ie came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/2.0 (compatible; MSIE 3.02; AK; Windows 95).
At 17:53:54 1/31/98, pc2610.princeton.edu came here from http://miso.wwa.com/~eaton/ using Mozilla/4.01a (Macintosh; I; PPC).
At 02:51:24 2/01/98, ts012d18.sto-ca.concentric.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/3.0C-GZone  (Win95; I).
At 17:21:52 2/02/98, j137.mocty.com came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/3.0Gold (Win95; U).
At 19:17:55 2/02/98, sb2pool10.sbceo.k12.ca.us came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/2.0 (Win95; I).
At 19:26:58 2/02/98, sb2pool10.sbceo.k12.ca.us came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/2.0 (Win95; I).
At 10:22:29 2/03/98, 199.2.254.43 came here from http://www.otaking.org/~nexus/Theme-Index.html using SPRY_Mosaic/v7.36 (Windows 16-bit) SPRY_package/v4.00.
At 12:06:59 2/03/98, 199.2.254.33 came here from http://www.otaking.org/~nexus/Theme-Index.html using SPRY_Mosaic/v7.36 (Windows 16-bit) SPRY_package/v4.00.
At 13:24:50 2/03/98, beelzebub.adams.edu came here from http://miso.wwa.com/~eaton//jce98/ using Mozilla/3.02 (Win16; I).
At 21:18:34 2/03/98, ppp-146.m2-2.ham.ican.net came here from http://miso.wwa.com/~eaton// using Mozilla/4.04 [en] (Win95; I ;Nav).
At 21:31:27 2/03/98, ppp-146.m2-2.ham.ican.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.04 [en] (Win95; I ;Nav).
At 04:16:51 2/05/98, rs12-annex1.sfu.ca came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/3.04Gold (Win95; I).
At 14:03:21 2/05/98, hist22.hist.emory.edu came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/2.0 (compatible; MSIE 3.01; Windows 95).
At 17:03:26 2/05/98, 168-132-215.ipt.aol.com came here from http://miso.wwa.com/~eaton/ using Mozilla/3.01-C-MACOS8 (Macintosh; I; PPC).
At 22:05:10 2/06/98, ras-group-b-18.sisna.com came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/2.0 (compatible; MSIE 3.02; Update a; AK; Windows 95).
At 22:22:48 2/06/98, slip166-72-117-138.id.us.ibm.net came here from http://www.search.hotbot.com/hResult.html?_v=2&SW=web&SM=MC&MT=scifi+mud&act.search.x=85&act.search.y=9 using Mozilla/4.04 [en] (Win95; U).
At 23:44:28 2/06/98, ppp-di.rdrop.com came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/3.01Gold (Win95; I).
At 07:55:31 2/07/98, port91.char.prodigy.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.0 (compatible; MSIE 4.0; Windows 95).
At 17:22:46 2/07/98, ww-tc06.proxy.aol.com came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/2.0 (compatible; MSIE 3.0; AOL 3.0; Windows 95).
At 12:06:47 2/08/98, pc3114.princeton.edu came here from http://miso.wwa.com/~eaton/ using Mozilla/4.01 [en] (WinNT; I).
At 10:35:41 2/10/98, 136.223.6.110 came here from http://miso.wwa.com/~eaton//jce98/ using Mozilla/3.04Gold (Win95; I).
At 10:53:49 2/10/98, 136.223.6.110 came here from http://miso.wwa.com/~eaton/ using Mozilla/3.04Gold (Win95; I).
At 11:56:06 2/10/98, m125.telcomplus.net came here from http://miso.wwa.com/~eaton//nexus/themes.html using Mozilla/3.01 (Win16; I).
At 12:04:54 2/10/98, firewall.cccpp.com came here from http://miso.wwa.com/~eaton// using Mozilla/4.04 [en] (Win95; I).
At 14:39:33 2/10/98, firewall.cccpp.com came here from  using Mozilla/4.04 [en] (Win95; I).
At 15:10:53 2/10/98, poolx2-045.wwa.com came here from  using Mozilla/4.04 [en] (Win95; I).
At 17:47:09 2/10/98, 140.196.8.22 came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/2.0 (compatible; MSIE 3.02; Windows 95).
At 16:59:57 2/11/98, 204.162.98.137 came here from  using InfoSeek Sidewinder/0.9.
At 22:55:05 2/11/98, popuser2.henderson.vance.net came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/4.0 (compatible; MSIE 4.01; Windows 95).
At 23:02:56 2/11/98, poolf1-006.wwa.com came here from http://miso.wwa.com/~eaton/ using Mozilla/3.0 (compatible; MSIE 3.01; Mac_68000).
At 12:10:23 2/12/98, 204.162.98.137 came here from  using InfoSeek Sidewinder/0.9.
